Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
1	0.05283050139745076	5093	5093	1606.7090355988175	-268.18805	139.08723	-20.87922	-599.87555	96.09433962264151	17.980350019620104
2	0.10347240765889486	10121	5028	1654.958482115601	-188.6213	114.48031	34.199234	-518.9856	100.56	24.00596592516119
3	0.15334337552388508	15127	5006	1673.1622829137668	-177.00903	111.25955	-46.008842	-531.7228	98.15686274509804	23.860191269403806
4	0.20381429592768352	20181	5054	1669.109996394542	-155.41539	97.48525	7.676155	-431.91345	105.29166666666667	24.4207547772154
5	0.25453935464223226	25186	5005	1644.6190495104763	-154.38033	88.37092	-33.130547	-554.1503	111.22222222222223	23.983224589875213
6	0.30527855157852174	30217	5031	1652.7507729960903	-136.03537	73.37987	-0.23207092	-303.6264	104.8125	28.60700398649487
7	0.3563229242960612	35221	5004	1634.062862570081	-130.16275	80.08626	-23.4076	-476.58548	106.46808510638297	31.711365211343786
8	0.4084621906280518	40271	5050	1614.3938830387249	-128.873	64.82333	-10.367432	-277.32947	105.20833333333333	27.540847189018873
9	0.460082479317983	45380	5109	1649.689599026416	-123.31661	79.22296	7.7876663	-364.5467	104.26530612244898	24.70129758650969
10	0.5102929949760437	50414	5034	1671.147093544024	-105.976746	48.690823	13.002365	-269.48804	102.73469387755102	26.12198660305074
11	0.5615732351938884	55462	5048	1640.8011048383642	-117.60074	49.732914	-19.525398	-261.13144	107.40425531914893	26.14904869875204
12	0.613108511765798	60496	5034	1628.1731285027606	-108.588745	64.44949	7.379463	-364.09918	107.1063829787234	27.61223444729666
13	0.663301940759023	65508	5012	1664.4249303192319	-111.588295	40.574158	-50.834167	-240.5811	108.95652173913044	24.510828593429558
14	0.7148063143094381	70517	5009	1621.07054070487	-113.929726	62.51566	-1.6107941	-295.5961	104.35416666666667	27.26069330199721
15	0.7677190224329631	75562	5045	1589.2538696272284	-100.8172	49.54375	-41.233955	-275.33078	117.32558139534883	25.43548238577093
16	0.8196156024932861	80594	5032	1616.2035979316993	-86.68873	40.355225	-20.833328	-269.79904	107.06382978723404	22.581676110754657
17	0.873403771718343	85710	5116	1585.3935596021145	-84.396805	41.106434	-9.246056	-215.03307	113.68888888888888	28.800325786909056
18	0.9301206827163696	90743	5033	1479.11819832033	-76.94191	36.256844	8.747415	-174.67398	119.83333333333333	29.19957327368124
19	0.9856214125951132	95794	5051	1516.9096014672016	-71.18904	39.904057	-0.4222107	-198.47594	123.1951219512195	33.24867098917043
20	1.087163015206655	100845	5051	829.0874495180707	-52.722996	38.100903	32.58777	-168.33792	157.84375	154.55927450637668
21	1.226411525408427	105863	5018	600.6280083848708	-64.089005	44.83875	9.298622	-231.89478	135.6216216216216	37.96538348701735
22	1.284386360645294	110877	5014	1441.5818651484462	-57.174767	40.940044	-6.476982	-225.25151	143.25714285714287	38.17953292922633
23	1.344927461942037	115952	5075	1397.2452739628554	-62.014927	55.19748	28.463322	-220.20844	153.78787878787878	38.45875994767096
24	1.4606533765792846	121949	5997	863.7240702581787	-46.76696	68.585014	45.466293	-334.68814	181.72727272727272	153.79330338245958
25	1.5244505008061726	127050	5101	1332.726330002983	-65.718735	70.293884	29.848373	-252.38043	159.40625	39.44130082714692
26	1.6486426790555317	132080	5030	675.1048886423362	-68.46911	109.93798	57.3517	-493.3221	228.63636363636363	191.40260885809772
27	1.7835055192311604	137145	5065	625.9706619719788	-29.450102	66.55433	48.198254	-261.33865	241.1904761904762	248.6957634670119
28	2.0031694451967876	142487	5342	405.32638480341456	-27.317919	67.79921	47.2536	-181.2948	485.6363636363636	390.46156200701586
29	2.1150927265485127	147547	5060	753.5282257735237	-12.583125	35.264416	38.21245	-85.9366	194.6153846153846	165.3855813925276
30	2.282937169075012	152850	5303	526.5971378832837	-15.795216	36.69408	52.111168	-109.97602	279.10526315789474	283.67065683860665
31	2.4470596631368	158268	5418	550.2164420652116	-32.01717	65.76346	40.533356	-237.59857	258.0	238.20979149041034
32	2.558008082707723	163416	5148	773.3629658304172	-18.572855	36.61803	45.526093	-103.29248	214.5	171.60346733093712
33	2.7520744601885476	168820	5404	464.11146921974586	-29.734488	87.45566	70.58122	-216.33289	386.0	343.37879957854125
34	2.9812551498413087	173941	5121	372.4201809107457	-78.24671	97.11746	37.695908	-272.5696	465.54545454545456	348.58737358773254
35	3.244276269276937	179106	5165	327.29336392139254	-4.169905	79.32027	53.758553	-226.4738	516.5	398.2306492473928
36	3.392050882180532	184375	5269	594.2821807966814	-56.752525	118.0667	48.000076	-411.84018	329.3125	263.83368784851945
