Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
1	0.07871665159861246	5032	5032	1065.4242382129605	-243.41733	147.22203	6.3182373	-667.02167	107.06382978723404	27.374008681414868
2	0.15638038317362468	10086	5054	1084.6589372354424	-231.11447	148.0267	-20.233887	-500.58673	107.53191489361703	24.623852010246978
3	0.23552886644999185	15179	5093	1072.5186145195657	-196.05849	126.43152	35.590805	-441.9205	110.71739130434783	26.621063124720603
4	0.3131048321723938	20250	5071	1089.6792112743365	-173.30525	110.645775	-32.46806	-441.73572	103.48979591836735	30.257481752438803
5	0.388746178150177	25317	5067	1116.5191190649846	-202.23752	126.993805	13.661575	-485.53488	103.40816326530613	19.444235667879525
6	0.46516788800557457	30324	5007	1092.0343658172208	-162.41003	82.51498	-36.918777	-352.2901	108.84782608695652	20.697581660146916
7	0.5396250565846761	35385	5061	1132.9376586202302	-140.94641	89.170715	-31.004843	-395.18	103.28571428571429	22.40535650240808
8	0.6126972635587057	40431	5046	1150.9822882864364	-129.54039	85.63082	38.97336	-395.56726	98.94117647058823	21.94414635843078
9	0.6861101587613424	45451	5020	1139.7667634506936	-147.86305	94.624756	-8.51786	-386.91724	102.44897959183673	24.97677388400361
10	0.8102439999580383	50469	5018	673.7589057859698	-126.65716	65.50121	31.88623	-256.1575	122.39024390243902	140.67708708829534
11	0.8794426719347636	55486	5017	1208.440349876944	-122.53169	55.210896	-42.335983	-340.25946	92.9074074074074	19.908372069650714
12	0.9487388888994853	60581	5095	1225.5243353989872	-122.171844	52.167156	8.96418	-344.43384	87.84482758620689	17.229487278117862
13	1.017699619134267	65664	5083	1228.5605424426574	-113.19329	42.34766	-36.07582	-244.24828	89.17543859649123	18.420167063091323
14	1.0840115467707316	70670	5006	1258.2797885133043	-108.37605	37.067722	-47.309395	-226.63708	87.82456140350877	18.01375966000254
15	1.15166677236557	75681	5011	1234.659313182685	-113.11139	32.77298	-55.985813	-221.478	89.48214285714286	14.85644529612433
16	1.2185776352882385	80703	5022	1251.1993512518027	-103.126144	38.345627	-10.067558	-308.84714	86.58620689655173	18.00960900871668
17	1.2865151007970175	85781	5078	1245.841421784137	-97.102	33.552418	-31.538055	-226.16745	86.0677966101695	16.96643186999879
18	1.3569253961245218	90895	5114	1210.6236854230995	-85.05029	28.982729	-22.951393	-154.89255	92.98181818181818	17.726703953579506
19	1.4284290989240012	95899	5004	1166.4742883540519	-80.50921	36.389614	-1.5214233	-183.82623	96.23076923076923	21.189271037498948
20	1.5014643589655559	100921	5022	1146.1274936705004	-69.46888	29.176292	-15.963722	-149.36456	102.48979591836735	20.549713190291698
21	1.6583502014478049	105979	5058	537.4085976956836	-74.90081	32.509953	-8.277512	-146.88925	109.95652173913044	26.49934906644274
22	1.74013960758845	111071	5092	1037.7055654814715	-69.120804	26.107782	-10.646013	-132.31952	124.1951219512195	34.194721823621904
23	1.8269479393959045	116078	5007	961.3599013997363	-65.984375	49.12967	14.140453	-187.10373	139.08333333333334	33.82666190382308
24	2.0449588378270467	121126	5048	385.9245639146599	-57.32843	63.14463	35.58458	-200.0567	229.45454545454547	246.1231634167088
25	2.209507668018341	126682	5556	562.765182858603	-77.47395	60.2898	0.32468414	-236.223	213.69230769230768	178.0260934268581
26	2.4112922747929892	131901	5219	431.07936373211953	-113.885216	83.98601	13.565052	-313.6144	289.94444444444446	203.58658333392268
27	2.6463903268178304	137330	5429	384.8814906594615	-80.24678	98.171936	49.77095	-242.08824	319.3529411764706	265.245045676739
28	2.7965061545372008	142346	5016	556.9277435779916	-104.38788	89.15017	22.476654	-264.9207	238.85714285714286	139.96301746712737
29	2.9733410914738974	147552	5206	490.6765612989006	-181.58762	129.74571	36.85525	-527.82007	347.06666666666666	133.1627909323355
30	3.2682755033175153	152710	5158	291.4812674598656	-148.20866	205.8551	44.736336	-679.3092	515.8	322.603719755368
31	3.582123649120331	158380	5670	301.10657703989807	-195.59833	140.18503	-22.448334	-497.5515	472.5	276.34263152832574
32	3.773423898220062	163631	5251	457.49307452606035	-166.50455	139.11684	4.5569572	-462.11835	375.07142857142856	205.51310847510928
33	4.076871812343597	169008	5377	295.3337234402073	-154.40591	107.39047	34.687317	-315.21518	488.8181818181818	326.6966394300315
34	4.384791461626689	174139	5131	277.7374474677969	-67.16202	106.916695	31.54966	-299.98416	513.1	377.61182449706206
35	4.66997313896815	179480	5341	312.1445567187003	-41.66839	70.79842	54.437042	-168.68896	381.5	332.7471691411192
36	5.006463690598806	185077	5597	277.2275506953534	-52.779736	62.40876	14.172539	-196.74124	466.4166666666667	341.50999456661424
37	5.191478089491526	190230	5153	464.21735732836737	-47.609295	51.57897	30.349632	-166.04288	303.11764705882354	202.03024885716295
38	5.486113516489665	195279	5049	285.6119016624625	-29.631418	61.106262	21.160477	-177.40578	504.9	361.14081741060505
39	5.746839352448782	200447	5168	330.36523131755314	-51.117672	81.14878	72.76853	-261.41748	397.53846153846155	334.60553477987395
40	5.913656584421793	205489	5042	503.75773660814474	-8.401305	26.677343	47.343216	-55.974514	219.2173913043478	175.61047718613642
41	6.43715592622757	210628	5139	163.6122347223457	-5.2412825	44.197224	72.27956	-142.42218	256.95	252.30070848097114
42	6.595861383279165	215712	5084	533.9193152882086	-10.32056	29.12298	18.87201	-121.899826	242.0952380952381	178.64514034196523
43	6.729585274060567	220821	5109	636.7805728948222	-8.922613	31.398869	40.457466	-80.71397	204.36	144.3714320771253
44	6.885853727658589	225852	5031	536.59282487499	-16.96516	48.644684	54.537918	-180.98671	264.7894736842105	224.3363496715
45	7.08931915362676	231073	5221	427.682000345607	-21.131487	39.845848	39.0438	-160.95886	290.05555555555554	259.43795495095895
46	7.417965789635976	236393	5320	269.79659075450377	1.9079075	26.090677	38.142708	-41.18947	483.6363636363636	392.4724130959045
47	7.709915212790171	241488	5095	290.8651495023846	13.800377	32.571007	84.88645	-34.32721	509.5	401.3669767183145
48	7.940121674537659	246573	5085	368.1546144594104	-6.2179976	65.99015	69.265076	-213.15971	391.15384615384613	338.7544711379856
49	8.213075935840607	251944	5371	327.95978439412346	-3.783844	85.18326	88.3556	-269.17215	413.15384615384613	362.98206061920047
50	8.464882417519886	257030	5086	336.6435704714886	27.246773	31.265877	93.85675	-21.416027	317.875	329.7877868796842
51	8.79864198366801	262362	5332	266.2630879734772	22.214537	33.71341	74.46525	-37.648155	761.7142857142857	376.9997022680576
52	9.20413316488266	268149	5787	237.86213971583413	47.488804	44.123302	103.2309	-17.544651	723.375	357.3544939902113
53	9.556975555419921	274043	5894	278.41970803692453	7.0620456	52.043335	95.37107	-81.01692	654.8888888888889	386.4356909110189
54	9.885303417841593	279629	5586	283.5615419749864	52.436146	64.54471	133.57364	-43.13035	798.0	319.87676198364716
55	10.20802056392034	285262	5633	290.9203147623761	40.351715	86.77898	190.1568	-121.172455	704.125	358.14746875414323
56	10.472207363446554	290901	5639	355.7533993958819	81.28279	79.736176	172.25513	-54.281494	563.9	365.0661446916161
57	10.730199269453685	296410	5509	355.89835151489086	48.46178	72.57098	154.37547	-43.672287	612.1111111111111	352.84351093633074
