Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
1	0.032534897327423096	5174	5174	2650.483774780811	-1225.3721	285.66296	-823.3325	-1827.0986	199.0	0.0
2	0.06247713565826416	10348	5174	2882.0059360374635	-1492.4271	205.35811	-1053.386	-1859.7972	199.0	0.0
3	0.09316111803054809	15522	5174	2810.8960362446087	-1419.4832	256.07605	-1043.838	-1826.7856	199.0	0.0
4	0.12341643571853637	20696	5174	2850.6713899968317	-1612.5569	208.40045	-1035.9758	-1870.814	199.0	0.0
5	0.15423777103424072	25870	5174	2798.235452581066	-1658.7872	190.15947	-1002.5622	-1902.0176	199.0	0.0
6	0.18578753074010212	31044	5174	2734.656165893995	-1512.8319	304.6051	-1018.8046	-1875.7076	199.0	0.0
7	0.2161671757698059	36218	5174	2838.995744645223	-1594.3711	240.09602	-1050.4116	-1868.6375	199.0	0.0
8	0.24627594153086343	41392	5174	2865.4565536240657	-1519.9185	196.15907	-1196.7178	-1839.179	199.0	0.0
9	0.2773934523264567	46566	5174	2771.666578455584	-1579.0293	186.71333	-1316.778	-1886.1907	199.0	0.0
10	0.3074984629948934	51740	5174	2864.801011622063	-1548.9377	181.29636	-1201.6682	-1843.6948	199.0	0.0
11	0.3379959464073181	56914	5174	2827.9805540678076	-1519.8308	123.58447	-1349.0815	-1827.1921	199.0	0.0
12	0.36866263548533124	62088	5174	2812.317780224474	-1541.0388	146.6681	-1295.7258	-1837.6857	199.0	0.0
13	0.39884659051895144	67262	5174	2857.3091741789326	-1560.3937	135.37238	-1310.3997	-1832.8591	199.0	0.0
14	0.4292973279953003	72436	5174	2832.2670865299883	-1568.4718	127.97335	-1276.0825	-1766.5239	199.0	0.0
15	0.46049908399581907	77610	5174	2764.1610502863086	-1502.4412	188.07143	-1048.5901	-1806.1677	199.0	0.0
16	0.49109175205230715	82784	5174	2819.2514366259393	-1444.8086	213.34297	-1039.04	-1755.3982	199.0	0.0
17	0.521264131863912	87958	5174	2858.4058653530924	-1492.5123	187.06453	-972.42194	-1649.4624	199.0	0.0
18	0.5520242134730021	93132	5174	2804.757882922617	-1457.1108	219.54314	-854.24304	-1689.843	199.0	0.0
19	0.5828967253367107	98306	5174	2793.571432653949	-1460.7667	221.86453	-989.02655	-1695.5503	199.0	0.0
